seed,dataset,target,model,selector,apparent_r2,nested_r2,bias,apparent_rmse,nested_rmse,bias_rmse,apparent_mae,nested_mae,bias_mae
9,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
10,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
11,deep_patato,chlorophyll,pls,lasso,0.737001098104118,0.47671337754074783,0.26028772056337013,3.590442439052524,4.8301023145468385,1.2396598754943144,2.7863399127657034,3.708927853310086,0.9225879405443824
0,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6488300803113706,0.04041341338643356,3.902843313868925,3.902461589431011,-0.00038172443791406607,3.1029724435578045,3.1252471693183796,0.022274725760575098
1,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6488300803113706,0.04041341338643356,3.902843313868925,3.902461589431011,-0.00038172443791406607,3.1029724435578045,3.1252471693183796,0.022274725760575098
2,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6502961329714809,0.03894736072632321,3.902843313868925,3.8850676701548283,-0.017775643714096567,3.1029724435578045,3.0988482844436422,-0.004124159114162307
3,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6376909549067291,0.05155253879107502,3.902843313868925,3.993307005907861,0.09046369203893612,3.1029724435578045,3.1869633301643137,0.08399088660650911
4,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6362223178974024,0.053021175800401776,3.902843313868925,4.0006359571760495,0.09779264330712456,3.1029724435578045,3.251405461989964,0.1484330184321596
5,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6376909549067291,0.05155253879107502,3.902843313868925,3.993307005907861,0.09046369203893612,3.1029724435578045,3.1869633301643137,0.08399088660650911
6,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6376909549067291,0.05155253879107502,3.902843313868925,3.993307005907861,0.09046369203893612,3.1029724435578045,3.1869633301643137,0.08399088660650911
7,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6471688031638756,0.04207469053392854,3.902843313868925,3.910820397604935,0.007977083736010027,3.1029724435578045,3.1731924865457226,0.07022004298791806
8,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6376909549067291,0.05155253879107502,3.902843313868925,3.993307005907861,0.09046369203893612,3.1029724435578045,3.1869633301643137,0.08399088660650911
9,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6474630210931162,0.04178047260468798,3.902843313868925,3.909656380127139,0.0068130662582142065,3.1029724435578045,3.137411484455966,0.03443904089816163
10,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6390580141249835,0.0501854795728206,3.902843313868925,3.986263198754991,0.08341988488606589,3.1029724435578045,3.1747990150267267,0.07182657146892213
11,deep_patato,chlorophyll,pls,mutual_info,0.6892434936978041,0.6375893771156568,0.05165411658214736,3.902843313868925,3.9936050766400895,0.09076176277116454,3.1029724435578045,3.239241146852377,0.13626870329457264
0,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
1,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
2,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
3,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
4,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
5,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
6,deep_patato,chlorophyll,pls,rfe,0.5956536782133807,0.6020425649495799,-0.006388886736199195,4.451924078827389,4.1091183478447615,-0.34280573098262757,3.4680957257966196,3.2417962182006588,-0.22629950759596085
