seed,dataset,target,model,selector,apparent_r2,apparent_r2_std,nested_r2,bias,apparent_rmse,apparent_rmse_std,nested_rmse,nested_rmse_std,bias_rmse,apparent_r2_pooled,apparent_rmse_pooled,nested_rmse_pooled,bias_pooled
6,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6376909549067291,-0.0006499775769637228,3.8524456501216937,0.5357167003031593,3.9605560236645907,0.3537641669487864,0.10811037354289699,0.6892434936978041,3.902843313868925,3.993307005907861,0.05155253879107502
7,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6471688031638756,-0.010127825834110205,3.8524456501216937,0.5357167003031593,3.884338832188655,0.31170445054335233,0.031893182066961234,0.6892434936978041,3.902843313868925,3.910820397604935,0.04207469053392854
8,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6376909549067291,-0.0006499775769637228,3.8524456501216937,0.5357167003031593,3.9605560236645907,0.3537641669487864,0.10811037354289699,0.6892434936978041,3.902843313868925,3.993307005907861,0.05155253879107502
9,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6474630210931162,-0.010422043763350763,3.8524456501216937,0.5357167003031593,3.883101078752568,0.3131050864168149,0.030655428630874226,0.6892434936978041,3.902843313868925,3.909656380127139,0.04178047260468798
10,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6390580141249835,-0.002017036795218141,3.8524456501216937,0.5357167003031593,3.954291588667695,0.3475238735075689,0.10184593854600132,0.6892434936978041,3.902843313868925,3.986263198754991,0.0501854795728206
11,deep_patato,chlorophyll,pls,mutual_info,0.6370409773297654,0.15905962698671167,0.6375893771156568,-0.0005483997858913847,3.8524456501216937,0.5357167003031593,3.961091882355577,0.35098381740897794,0.10864623223388348,0.6892434936978041,3.902843313868925,3.9936050766400895,0.05165411658214736
0,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
1,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
2,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
3,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
4,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
5,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
6,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
7,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
8,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
9,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
10,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
11,deep_patato,chlorophyll,pls,rfe,0.539683525067237,0.16439923992562258,0.6020425649495799,-0.062359039882342815,4.413800342176829,0.4122312985114022,4.053719763371392,0.46211109932803124,-0.3600805788054373,0.5956536782133807,4.451924078827389,4.1091183478447615,-0.006388886736199195
0,ryckewaert,chlorophyll,pls,ga,0.8845089077986916,0.028937996133300777,0.7854861936227902,0.09902271417590147,3.117390397695379,0.355911733082847,4.239362121102235,0.6752335886554705,1.1219717234068556,0.8861541941376332,3.1385322548237484,4.287762720625502,0.10066800051484304
1,ryckewaert,chlorophyll,pls,ga,0.8843067233170301,0.02629207613458635,0.7666892933278945,0.1176174299891356,3.123759315596545,0.30689712129420144,4.418495131783335,0.6640107882010863,1.2947358161867903,0.8860651364972998,3.139759597514021,4.463888089273449,0.1193758431694053
2,ryckewaert,chlorophyll,pls,ga,0.8819379132438515,0.030839537023785616,0.7787257169320883,0.10321219631176326,3.1489244589239886,0.3704114529920955,4.300818347314213,0.6958306644656955,1.1518938883902248,0.883756994853746,3.171403439997067,4.351832595501432,0.10503127792165778
