seed,dataset,target,model,selector,apparent_r2_pooled,nested_r2_pooled,bias_pooled
9,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
10,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
11,ryckewaert,flavonol,lightgbm,rfe,0.2950459336604504,0.2333188343971283,0.061727099263322094
0,ryckewaert,flavonol,pls,ga,0.6174895366539911,0.30063836573217184,0.31685117092181925
1,ryckewaert,flavonol,pls,ga,0.617503390976946,0.2956755718121966,0.32182781916474934
2,ryckewaert,flavonol,pls,ga,0.600324441523414,0.22942700735245225,0.37089743417096177
3,ryckewaert,flavonol,pls,ga,0.6197953409137993,0.23764531927338206,0.3821500216404172
4,ryckewaert,flavonol,pls,ga,0.6009391761692833,0.3167490805903016,0.28419009557898167
5,ryckewaert,flavonol,pls,ga,0.6166490114185328,0.28726875525714846,0.32938025616138433
6,ryckewaert,flavonol,pls,ga,0.6153130335855483,0.31893738175605035,0.296375651829498
7,ryckewaert,flavonol,pls,ga,0.6137302863570232,0.2975919188182322,0.316138367538791
8,ryckewaert,flavonol,pls,ga,0.631465196121979,0.24831566786859383,0.3831495282533852
9,ryckewaert,flavonol,pls,ga,0.6298549834647768,0.25352326524518165,0.3763317182195951
10,ryckewaert,flavonol,pls,ga,0.6308037838264552,0.2767265732656593,0.3540772105607959
11,ryckewaert,flavonol,pls,ga,0.6288734358486443,0.27039325312738427,0.35848018272126003
0,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
1,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
2,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
3,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
4,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
5,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
6,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
7,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
8,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
9,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
10,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
11,ryckewaert,flavonol,pls,lasso,0.5919872037883033,0.4278869721056906,0.16410023168261267
0,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.3084193841623091,0.010955272743290334
1,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.29996428514035456,0.01941037176524485
2,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.29903154464353954,0.02034311226205987
3,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.29155220981469443,0.027822447090904978
4,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.30744361996919967,0.011931036936399741
5,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.2882829930757831,0.03109166382981632
6,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.29996428514035456,0.01941037176524485
7,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.29996428514035456,0.01941037176524485
8,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.30744361996919967,0.011931036936399741
9,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.29996428514035456,0.01941037176524485
10,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.29898852094724515,0.020386135958354257
11,ryckewaert,flavonol,pls,mutual_info,0.3193746569055994,0.290576445621585,0.028798211284014386
0,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
1,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
2,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
3,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
4,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
5,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
6,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
7,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
8,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
9,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
10,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
11,ryckewaert,flavonol,pls,rfe,0.2595891110353745,0.2602121165261555,-0.0006230054907809812
